Comment,Designator,Footprint,LCSC
"100µf","C1,C23","Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder","C122271"
"100nF","C10,C24,C25","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C49678"
"10nF","C12,C13,C14","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1710"
"100pF","C16,C17,C18,C19","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1790"
"27pF","C21,C22","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C527182"
"1µF","C3,C4","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C28323"
"10µF","C5,C6","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C15850"
"47nF","C7,C8,C9","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C53134"
"BATTERY","CN4","easyeda2kicad:CONN-TH_2P-P1.25_HCTL_HC-1.25-2AW","C2845535"
"1N414","D2","Diode_SMD:D_SOD-123","C83528"
"BAV99-7-F","DA1,DA2,DA3,DA4","kmc_lib:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","C106919"
"220Ω","R1,R2,R3,R4","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17557"
"5.1kΩ","R10,R11","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C27834"
"510Ω","R5,R6","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17734"
"180kΩ","R7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17501"
"1MΩ","R8","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17514"
"10kΩ","R9","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17414"
"DPDT","SW1","kmc_lib:DMGB_POWER_SWITCH","C2848866"
"LPW5209B5F-21","U5","easyeda2kicad:SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL","C517266"
"CHARGE_PORT","USB1","kmc_lib:USB_C_16p","C319148"
"4.194304 MHz","X1","dmg_lib:HC-49S","C2149317"
